City,County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
"SAN FERNANDO","LOS ANGELES",1,1,3,9,2,5,3,9,6,9,4.8
"SOLANA BEACH","SAN DIEGO",2,2,6,6,6,4,6,2,6,8,4.8
DANVILLE,"CONTRA COSTA",2,5,5,5,5,2,7,5,5,6,4.7
SELMA,FRESNO,3,6,5,4,5,3,4,6,3,8,4.7
TAFT,KERN,4,4,7,2,4,5,7,2,4,8,4.7
"TEMPLE CITY","LOS ANGELES",1,1,8,2,3,3,9,6,8,6,4.7
"SOUTH LAKE TAHOE","EL DORADO",8,5,2,5,1,1,11,8,4,1,4.6
"RANCHO SANTA MARGARITA",ORANGE,0,11,2,6,11,4,5,4,1,2,4.6
"AGOURA HILLS","LOS ANGELES",2,1,8,1,5,6,4,11,3,4,4.5
"EL SEGUNDO","LOS ANGELES",2,5,2,7,8,6,7,2,1,5,4.5
MARYSVILLE,YUBA,3,3,3,1,7,3,5,7,6,7,4.5
DUBLIN,ALAMEDA,4,1,5,7,4,4,5,4,6,4,4.4
BRAWLEY,IMPERIAL,1,5,2,10,3,3,4,4,6,6,4.4
LEMOORE,KINGS,5,5,2,8,3,2,5,2,6,6,4.4
"LA CANADA-FLINTRIDGE","LOS ANGELES",3,2,3,5,4,7,2,6,3,8,4.3
"EL CERRITO","CONTRA COSTA",4,6,6,1,5,8,2,5,2,2,4.1
"LOS ALTOS HILLS","SANTA CLARA",4,4,3,4,6,4,3,1,8,4,4.1
WALNUT,"LOS ANGELES",1,4,5,3,2,5,4,7,5,4,4.0
BLYTHE,RIVERSIDE,4,1,4,3,5,2,4,6,4,7,4.0
"IMPERIAL BEACH","SAN DIEGO",2,4,6,4,6,5,2,3,4,4,4.0
"MANHATTAN BEACH","LOS ANGELES",1,4,3,4,5,5,5,2,4,6,3.9
CYPRESS,ORANGE,3,2,0,0,1,0,10,9,7,7,3.9
"LA PALMA",ORANGE,2,0,5,4,4,7,1,2,9,5,3.9
WINDSOR,SONOMA,3,5,3,1,6,5,8,1,5,2,3.9
"PISMO BEACH","SAN LUIS OBISPO",2,4,4,6,3,2,4,4,3,6,3.8
CARPINTERIA,"SANTA BARBARA",3,2,5,4,5,2,5,6,5,1,3.8
"SUISUN CITY",SOLANO,2,1,2,0,8,4,9,8,2,2,3.8
SAUSALITO,MARIN,3,1,2,5,3,9,7,3,3,1,3.7
SONORA,TUOLUMNE,4,3,2,6,5,5,5,4,0,3,3.7
PLACERVILLE,"EL DORADO",1,4,6,3,2,4,6,2,5,3,3.6
BELMONT,"SAN MATEO",3,7,5,6,2,5,2,3,1,2,3.6
"GRAND TERRACE","SAN BERNARDINO",4,3,3,2,3,2,7,4,5,2,3.5
SANGER,FRESNO,1,5,5,3,2,2,5,5,3,3,3.4
TEHACHAPI,KERN,2,5,4,1,4,3,2,4,5,4,3.4
WASCO,KERN,4,2,3,2,4,2,0,7,7,3,3.4
HEALDSBURG,SONOMA,3,6,1,0,2,2,4,11,1,4,3.4
PATTERSON,STANISLAUS,3,2,2,5,1,3,6,3,5,4,3.4
CUDAHY,"LOS ANGELES",5,3,1,0,5,3,7,4,2,3,3.3
"AMERICAN CANYON",NAPA,2,3,2,4,3,2,4,4,6,3,3.3
BRISBANE,"SAN MATEO",1,4,0,2,7,4,4,1,3,7,3.3
CORCORAN,KINGS,6,2,3,3,0,3,4,5,3,3,3.2
"SOUTH PASADENA","LOS ANGELES",2,1,6,3,4,3,3,3,5,2,3.2
"HALF MOON BAY","SAN MATEO",2,5,6,1,4,2,6,2,2,2,3.2
"CORTE MADERA",MARIN,1,1,2,1,5,8,5,5,1,2,3.1
YREKA,SISKIYOU,1,2,1,6,2,7,2,1,4,5,3.1
