STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
VAN DYKE,KEITH,NE,WB,,20483000,VAN DYKE & KEITH,,,,,,,POINT (-122.39055 37.7281),86,86,2,9,1
COLE,WALLER,NW,SB,,26277000,COLE ST & WALLER ST,,,,,,,POINT (-122.44943 37.7632),114,114,7,11,3
PEABODY,SUNNYDALE,SE,NB,0,20341000,PEABODY & SUNNYDALE,,,,,,,POINT (-122.40773 37.70959),75,75,9,9,40
OCTAVIA,FULTON,SE,NB,0,25945000,OCTAVIA ST & FULTON ST,,,,,,,POINT (-122.424995 37.778538),22,22,4,11,9
MORAGA,17TH AVE,SW,EB,0,27329000,MORAGA ST & 17TH AVE,,,,,,,POINT (-122.474464 37.756203),44,44,10,8,14
23RD AVE,CLEMENT,NW,SB,0,27543000,23RD AVE & CLEMENT,,,,I,,,POINT (-122.482735 37.782124),8,8,8,4,29
BRIDGEVIEW,SCOTIA,NW,SB,0,20614000,BRIDGEVIEW & SCOTIA,,,,,,,POINT (-122.39942 37.731705),87,87,2,9,1
CAMPUS,4TH ST,NE,WB,0,54094000,4TH ST & CAMPUS,,,,I,20-01637,20210105000000,POINT (-122.39089 37.767776),34,34,1,10,4
FILBERT,FILLMORE,SW,EB,0,26676000,FILBERT ST & FILLMORE,,,,,,,POINT (-122.43568 37.79802),15,15,4,6,13
CIELITO,PARQUE,SE,NB,,20430000,CIELITO DR & PARQUE DR,20170718000000,,170718-087,,,,POINT (-122.42165 37.710285),74,74,9,9,40
FLORIDA,21ST ST,NW,SB,0,23995000,FLORIDA ST & 21ST ST,,,,,,,POINT (-122.41053 37.757538),53,53,3,2,20
BEAVER,CASTRO,SW,EB,00,25823000,BEAVER & CASTRO,,,,,,,POINT (-122.435394 37.764927),28,28,7,5,5
JACKSON ST,WEBSTER,SW,SB,0,26650000,JACKSON ST & WEBSTER,,,,,,,POINT (-122.432915 37.79268),102,102,4,6,30
24TH ST,CHURCH,NE,WB,0,25639000,24TH ST & CHURCH,,,,,,,POINT (-122.42744 37.751705),84,84,3,5,22
MOULTRIE,TOMPKINS,SE,NB,0,21191000,MOULTRIE & TOMPKINS,,,,,,,POINT (-122.415955 37.73721),83,83,9,2,2
LOUISBURG,GENEVA,SE,NB,0,22188000,LOUISBURG ST & GENEVA AVE,,,,I,,,POINT (-122.449295 37.721752),81,81,10,8,24
LYON,CHESTNUT,NW,SB,,27021000,LYON ST & CHESTNUT ST,,,,I,,,POINT (-122.447464 37.79939),14,14,4,6,13
46TH AVE,BALBOA,NW,SB,0,27989000,46TH AVE & BALBOA ST,,,,I,,,POINT (-122.50696 37.775276),8,8,8,4,29
48TH AVE,NORIEGA,SE,NB,0,27928000,48TH AVE & NORIEGA,,,,,,,POINT (-122.507545 37.75287),39,39,10,7,35
44TH AVE,VICENTE,NW,SB,0,23451000,44TH AVE & VICENTE,,,,,,,POINT (-122.50221 37.738144),40,40,10,7,35
CHATTANOOGA,22ND ST,NW,SB,0,25656000,CHATTANOOGA & 22ND ST,,,,,,,POINT (-122.426636 37.754963),52,52,3,5,22
DARIEN,SANTA ANA,NE,WB,0,22773000,DARIEN WY & SANTA ANA AVE,20201113000000,,6326,I,20-00691,20210202000000,POINT (-122.46785 37.73182),63,63,10,8,41
GROVE,LAGUNA,SW,EB,0,25934000,GROVE & LAGUNA,,,,,,,POINT (-122.42645 37.77739),22,22,4,11,9
WAYLAND,CAMBRIDGE,SW,EB,0,20939000,WAYLAND ST & CAMBRIDGE ST,,,,I,,,POINT (-122.416916 37.722824),92,92,2,2,25
MCLAREN,28TH AVE,SW,EB,,28031000,MCLAREN AVE & 28TH AVE,20190205000000,,190205-010,I,19-7240,20190419000000,POINT (-122.48839 37.786243),1,1,8,6,33
KIRKHAM,32ND AVE,,EB,,27713000,KIRKHAM ST & 32ND AVE,,,,,,,POINT (-122.49079 37.759216),39,39,10,7,35
VELASCO,SAWYER,NE,WB,00,20402000,VELASCO & SAWYER,,,,,,,POINT (-122.41596 37.708996),75,75,9,9,40
ANZA,24TH AVE,SW,EB,0,27536000,24TH AVE & ANZA,20220422000000,,6531,I,22-04091,20220705000000,POINT (-122.48353 37.778214),8,8,8,4,29
24TH AVE,CALIFORNIA,SE,NB,0,27648000,24TH AVE & CALIFORNIA,,,,,,,POINT (-122.48393 37.78393),8,8,8,4,29
DIVISADERO,JEFFERSON,,SB,,26998000,DIVISADERO ST & JEFFERSON ST,,,,,,,POINT (-122.443794 37.804638),17,17,4,6,13
PALOU,INGALLS,NE,WB,0,20136000,PALOU & INGALLS,,,,,,,POINT (-122.38343 37.729736),78,78,2,9,1
29TH ST,DIAMOND,NE,WB,0,22028000,29TH ST & DIAMOND,,,,,,,POINT (-122.43556 37.74316),57,57,9,5,22
35TH AVE,CLEMENT,SE,NB,,27860000,35TH AVE & CLEMENT ST,20180220000000,,180220-028,I,18-5347,,POINT (-122.49559 37.78153),8,8,8,4,17
MARIPOSA,HAMPSHIRE,SW,EB,,24021000,MARIPOSA ST & HAMPSHIRE,,,,,,,POINT (-122.4083 37.763123),53,53,3,9,20
WOOL,CORTLAND,NW,SB,0,21222000,WOOL & CORTLAND,,,,,,,POINT (-122.41714 37.73912),61,61,9,2,2
VALLEY,SANCHEZ,SW,EB,,21912000,VALLEY & SANCHEZ,,,,,,,POINT (-122.42896 37.74436),84,84,9,5,22
FUNSTON,IRVING,NW,SB,0,27173000,FUNSTON & IRVING,,,,,,,POINT (-122.4706 37.763847),109,109,10,11,14
WILDE,DELTA,SW,EB,0,20838000,WILDE & DELTA,,,,,,,POINT (-122.40727 37.71782),75,75,9,9,40
29TH AVE,ANZA,,NB,,27834000,29TH AVE & ANZA,,,,,,,POINT (-122.48888 37.777973),8,8,8,4,29
LAKEWOOD,FAIRFIELD,SE,NB,,22746000,LAKEWOOD AVE & FAIRFIELD WY,,,,I,,,POINT (-122.46358 37.727734),68,68,10,8,41
GIRARD,BURROWS,NW,SB,0,20652000,GIRARD & BURROWS,,,,,,,POINT (-122.40509 37.728573),91,91,2,2,25
SAN JOSE,LAKEVIEW,NW,SB,,21575000,SAN JOSE & LAKEVIEW,,,,,,,POINT (-122.45038 37.716167),81,81,10,1,24
DUNCAN,DOUGLASS,NE,WB,0,22043000,DUNCAN & DOUGLASS,,,,,,,POINT (-122.437935 37.745434),84,84,3,5,22
BELLE,ST CHARLES,SW,EB,,2252700,BELLE AVE & ST CHARLES AVE,,,,,,,POINT (-122.46927 37.70866),65,65,10,8,24
MONTANA,CAPITOL,NE,WB,0,22575000,MONTANA & CAPITOL,,,,,,,POINT (-122.45906 37.716602),81,81,10,1,24
LAGUNA ST,HAYES,NW,SB,0,25932000,LAGUNA ST & HAYES,,,,,,,POINT (-122.42626 37.776463),22,22,4,11,9
OCTAVIA,CHESTNUT,SE,NB,0,26720000,OCTAVIA ST & CHESTNUT ST,,,,,,,POINT (-122.429665 37.801655),17,17,4,6,13
34TH AVE,QUINTARA,SE,NB,0,23413000,34TH AVE & QUINTARA,,,,,,,POINT (-122.49216 37.747936),39,39,10,7,35
VELASCO,SANTOS,NE,WB,0,20425000,VELASCO & SANTOS,,,,,,,POINT (-122.41935 37.709946),74,74,9,9,40
ARMSTRONG,INGALLS,NE,WB,0,20113000,ARMSTRONG & INGALLS,,,,,,,POINT (-122.3885 37.724102),86,86,2,9,1
TARAVAL,47TH AVE,SW,EB,0,23503000,47TH AVE & TARAVAL,20210219000000,,6366,I,21-01822,20210614000000,POINT (-122.50569 37.741714),39,39,10,7,35
STEINER,GREENWICH,NW,SB,,26765000,STEINER ST & GREENWICH ST,,,,I,,,POINT (-122.437515 37.79874),14,14,4,6,13
GREENWICH,FILLMORE,NE,WB,0,26747000,GREENWICH ST & FILLMORE ST,,,,,,,POINT (-122.43587 37.79895),15,15,4,6,13
25TH ST,CONNECTICUT,SW,EB,0,23634000,25TH ST & CONNECTICUT,,,,I,,,POINT (-122.396515 37.75231),54,54,2,9,26
BUCHANAN,CHESTNUT,SE,NB,,26741000,BUCHANAN & CHESTNUT,,,,,,,POINT (-122.43296 37.801235),17,17,4,6,13
VERMONT,17TH ST,SW,NB,0,23778000,VERMONT & 17TH ST,,,,,,,POINT (-122.404495 37.764664),54,54,1,9,26
21ST ST,EUREKA,NE,WB,0,25780000,21ST ST & EUREKA,,,,,,,POINT (-122.437805 37.755894),115,115,3,5,5
12TH AVE,LAWTON,SE,NB,0,27130000,12TH AVE & LAWTON,,,,,,,POINT (-122.46913 37.758305),109,109,10,8,14
BRODERICK,FILBERT,NW,SB,0,26880000,BRODERICK ST & FILBERT ST,,,,,,,POINT (-122.44395 37.79697),14,14,4,6,13
IRVING,30TH AVE,NE,EB,0,27717000,IRVING ST & 30TH AVE,,,,I,,,POINT (-122.48891 37.763042),39,39,10,7,35
43RD AVE,RIVERA,NW,SB,0,23477000,43RD AVE & RIVERA,,,,,,,POINT (-122.50167 37.745644),39,39,10,7,35
CAROLINA,23RD ST,SE,NB,C LINE,23702000,CAROLINA & 23RD ST,,,,,,,POINT (-122.399734 37.75468),54,54,2,9,26
EUREKA,19TH ST,SE,NB,0,25817000,EUREKA & 19TH ST,,,,,,,POINT (-122.43811 37.759094),115,115,3,5,5
32ND AVE,JUDAH,NW,SB,0,27715000,32ND AVE & JUDAH,,,,,,,POINT (-122.49092 37.761086),39,39,10,7,35
BRAZIL,VIENNA,NE,WB,0,21639000,BRAZIL AVE & VIENNA,,,,,,,POINT (-122.42925 37.722027),90,90,9,1,7
MEACHAM,POST,SE,NB,0,25168000,MEACHAM & POST,,,,,,,POINT (-122.41699 37.7872),50,50,6,10,36
48TH AVE,KIRKHAM,NW,SB,0,27941000,48TH AVE & KIRKHAM,,,,,,,POINT (-122.507935 37.758465),39,39,10,7,35
BRIGHT,GARFIELD,NW,SB,0,22614000,BRIGHT ST & GARFIELD ST,,,,,,,POINT (-122.46356 37.71989),64,64,10,1,24
PALMETTO,RAMSELL,NE,WB,,22517000,PALMETTO & RAMSELL,,,,,,,POINT (-122.46616 37.710682),65,65,10,8,24
OAKDALE,TOLAND,SW,EB,,20803000,OAKDALE AVE & TOLAND ST,,,,I,20-00449,20200506000000,POINT (-122.40156 37.740963),82,82,2,9,1
44TH AVE,FULTON,NW,SB,0,27969000,44TH AVE & FULTON,,,,,,,POINT (-122.50455 37.77164),9,9,8,4,29
BRUNSWICK,LOWELL,SW,EB,,21497000,BRUNSWICK & LOWELL,,,,,,,POINT (-122.4455 37.709812),58,58,9,1,7
APOLLO,THORNTON,SE,NB,0,20542000,APOLLO & THORNTON,,,,,,,POINT (-122.39858 37.731564),87,87,2,9,1
DE LONG,WILSON,NE,WB,,22481000,DE LONG ST & WILSON ST,20180403000000,,180403-048,I,18-5559,20180427000000,POINT (-122.46187 37.709663),66,66,10,1,28
HEARST AVE,EDNA ST,NE,WB,0,22161000,HEARST AVE & EDNA ST,,,,,,,POINT (-122.44657 37.730698),95,95,9,8,41
GELLERT,CLEARFIELD,SE,NB,,28260000,GELLERT DR & CLEARFIELD DR,,,,,,,POINT (-122.49076 37.729744),43,43,10,8,35
26TH ST,DIAMOND,NE,WB,0,22042000,26TH ST & DIAMOND ST,,,,,,,POINT (-122.43599 37.747963),84,84,3,5,22
ANZA,29TH AVE,NE,WB,0,27834000,ANZA ST & 29TH AVE,,,,,,,POINT (-122.48888 37.777973),8,8,8,4,29
POST,BAKER,NE,WB,,26814000,POST ST & BAKER ST,20170321000000,,170321-030,I,17-4595,,POINT (-122.442986 37.783897),103,103,8,6,15
GARFIELD,VERNON,NE,WB,,22717000,GARFIELD & VERNON,,,,,,,POINT (-122.468056 37.719666),64,64,10,1,24
BOSWORTH,ELK,,WB,,22267000,BOSWORTH & ELK,,,,,,,POINT (-122.43993 37.734856),96,96,9,5,41
ALOHA AVE,FUNSTON AVE,SW,EB,0,27137000,ALOHA AVE & FUNSTON AVE,20210514000000,,6412,I,21-02416,20210617000000,POINT (-122.47015 37.757523),44,44,10,8,14
SANTA ROSA,CAPISTRANO,NE,WB,,21802000,SANTA ROSA & CAPISTRANO,,,,,,,POINT (-122.43809 37.72786),94,94,9,1,28
RIVERA ST,20TH AVE,,EB,,23203000,,,,,,,,POINT (-122.47702 37.74673),40,40,10,7,35
BUCHANAN,PACIFIC,NW,SB,0,26577000,BUCHANAN & PACIFIC,,,,,,,POINT (-122.43145 37.793766),102,102,4,6,30
24TH ST,UTAH,,EB,,23724000,24TH ST & UTAH,,,,,,,POINT (-122.405334 37.753063),54,54,3,9,20
PACIFIC,WEBSTER,SW,EB,0,26656000,PACIFIC & WEBSTER,,,,,,,POINT (-122.43309 37.793556),102,102,4,6,30
ELSIE,ESMERALDA,NW,SB,0,21279000,ELSIE & ESMERALDA,,,,,,,POINT (-122.41742 37.74322),83,83,9,2,2
SELBY,OAKDALE,SE,NB,0,20758000,SELBY & OAKDALE,,,,,,,POINT (-122.39969 37.739902),87,87,2,9,1
ST CHARLES,ALEMANY,SE,NB,0,22528000,ST CHARLES & ALEMANY,,,,,,,POINT (-122.46929 37.710594),65,65,10,8,24
PRESIDIO,SUTTER,NW,SB,0,26839000,PRESIDIO AVE & SUTTER ST,,,,I,,,POINT (-122.44625 37.78444),11,11,8,6,31
17TH AVE,LAKE,SE,NB,0,27633000,17TH AVE & LAKE,,,,,,,POINT (-122.47658 37.78613),2,2,8,6,33
CURTIS,ROLPH,SE,NB,,21469000,CURTIS & ROLPH,,,,,,,POINT (-122.44037 37.71522),58,58,9,1,7
CIRCULAR,DETROIT,NE,WB,0,22152000,CIRCULAR & DETROIT,,,,,,,POINT (-122.444275 37.72826),95,95,9,8,41
URBANO,VICTORIA,,NB,,22705000,URBANO & VICTORIA,,,,,,,POINT (-122.46429 37.725155),67,67,10,8,41
20TH ST,TENNESSEE,NE,WB,0,23565000,20TH ST & TENNESSEE ST,,,,I,,,POINT (-122.38949 37.760437),55,55,2,9,26
OGDEN,ANDERSON,NE,WB,,21185000,OGDEN & ANDERSON,,,,,,,POINT (-122.41544 37.736),83,83,9,2,2
GROVE,SHRADER,,NB,,26439000,GROVE & SHRADER,,,,,,,POINT (-122.45281 37.77404),24,24,7,11,18
EDINBURGH,SILVER,SE,NB,0,21680000,EDINBURGH ST & SILVER AVE,,,,I,,,POINT (-122.42642 37.72862),,,9,1,7
CRESTLAKE,CONSTANSO,NE,WB,0,23248000,CRESTLAKE & CONSTANSO,,,,,,,POINT (-122.48843 37.73517),40,40,10,7,35
GREEN,TAYLOR,,SB,,25433000,GREEN & TAYLOR,,,,,,,POINT (-122.41393 37.798885),107,107,6,3,21
45TH AVE,MORAGA,NW,SB,0,27930000,45TH AVE & MORAGA,,,,,,,POINT (-122.50446 37.75488),39,39,10,7,35
MUNICH,BRAZIL,SE,NB,0,21618000,MUNICH & BRAZIL,,,,,,,POINT (-122.426834 37.720867),90,90,9,1,7
LAKE ST,15TH AVE,SW,EB,0,27625000,LAKE ST & 15TH AVE,,,,,,,POINT (-122.47438 37.78624),2,2,8,6,33
20TH ST,CHURCH,NE,WB,,25708000,20TH ST & CHURCH ST,,,,I,,,POINT (-122.42805 37.758087),52,52,3,5,5
NORIEGA,30TH AVE,SW,EB,,27675000,NORIEGA & 30TH AVE,,,,,,,POINT (-122.488266 37.75372),39,39,10,7,35
AGUA,TERESITA,SW,EB,0,22409000,AGUA & TERESITA,,,,,,,POINT (-122.450645 37.74222),72,72,9,8,41
WALLACE,JENNINGS,SW,EB,0,20152000,WALLACE & JENNINGS,,,,,,,POINT (-122.38924 37.726414),86,86,2,9,1
BALBOA,09TH AVE,SW,EB,,27281000,BALBOA ST & 09TH AVE,,,,,,,POINT (-122.467224 37.77709),5,5,8,4,11
INGERSON,INGALLS,NE,WB,0,20441000,INGERSON AVE & INGALLS ST,,,,,,,POINT (-122.39298 37.719112),88,88,2,9,1
EL VERANO,MAYWOOD,SE,NB,0,22687000,EL VERANO & MAYWOOD,,,,,,,POINT (-122.46129 37.731327),69,69,10,8,41
YERBA BUENA,PLYMOUTH,SE,NB,0,22804000,YERBA BUENA & PLYMOUTH,,,,,,,POINT (-122.45861 37.732544),70,70,9,8,41
CURTIS,BRUNSWICK,NW,SB,0,21423000,CURTIS & BRUNSWICK,,,,I,,,POINT (-122.43908 37.71175),58,58,9,1,7
CUMBERLAND,GUERRERO,SW,EB,0,25675000,CUMBERLAND ST & GUERRERO ST,20220114000000,,6494,I,22-03578,20220202000000,POINT (-122.423615 37.759163),37,37,3,5,20
26TH ST,HARRISON,NE,WB,,21174000,26TH ST & HARRISON ST,,,,,,,POINT (-122.41159 37.749435),53,53,3,2,20
FUNSTON,FULTON,NW,SB,0,27269000,FUNSTON & FULTON,,,,,,,POINT (-122.47124 37.773163),5,5,8,4,11
VICTORIA,GARFIELD,NW,SB,0,22696000,VICTORIA & GARFIELD,,,,,,,POINT (-122.465355 37.719685),64,64,10,1,24
MARENGO,WATERLOO,,NB,,21022000,,,,,,,,POINT (-122.406006 37.73918),82,82,2,9,1
CLAY,WEBSTER,SW,EB,0,26646000,CLAY ST & WEBSTER,,,,,,,POINT (-122.43256 37.79092),102,102,4,6,30
SACRAMENTO,BUCHANAN,SW,EB,0,26561000,SACRAMENTO ST & BUCHANAN ST,,,,,,,POINT (-122.43074 37.790253),102,102,4,6,30
MOSCOW,AVALON,SE,NB,0,21637000,MOSCOW & AVALON,,,,,,,POINT (-122.4253 37.72438),90,90,9,1,7
UNION,PIERCE,SW,EB,00,26681000,UNION & PIERCE,,,,,,,POINT (-122.43878 37.79667),14,14,4,6,13
CONNECTICUT,25TH ST,NW,SB,0,23634000,CONNECTICUT & 25TH ST,,,,I,,,POINT (-122.396515 37.75231),54,54,2,9,26
22ND AVE,CALIFORNIA,SE,NB,0,27644000,22ND AVE & CALIFORNIA ST,,,,,,,POINT (-122.48179 37.784027),8,8,8,4,29
PACIFIC,LAUREL,NE,WB,0,33544000,PACIFIC & LAUREL,,,,,,,POINT (-122.451 37.79121),10,10,8,6,31
DIVISION,KANSAS,NE,WB,,23878000,DIVISION & KANSAS,,,,,,,POINT (-122.40401 37.76977),33,33,1,9,4
CENTRAL,WALLER,NW,SB,0,26339000,CENTRAL & WALLER,,,,,,,POINT (-122.44346 37.769497),112,112,7,11,3
MISSISSIPPI,MARIPOSA,NW,SB,0,23674000,MISSISSIPPI & MARIPOSA,,,,,,,POINT (-122.39471 37.763966),54,54,2,9,26
CLIPPER,CHURCH,NE,WB,,25611000,CLIPPER & CHURCH,,,,,,,POINT (-122.4272 37.749294),84,84,3,5,22
WALLER,CLAYTON,NE,WB,0,26407000,WALLER & CLAYTON,,,,,,,POINT (-122.44839 37.768864),29,29,7,11,3
TINGLEY,CAYUGA,SW,EB,0,21805000,TINGLEY & CAYUGA,,,,,,,POINT (-122.43468 37.72989),94,94,9,1,28
WHEELER,LATHROP,NW,SB,0,20284000,WHEELER & LATHROP,,,,,,,POINT (-122.40028 37.710865),89,89,2,9,1
AVALON,ATHENS,NE,WB,,21638000,AVALON AVE & ATHENS ST,20180403000000,,180403-048,I,18-5558,,POINT (-122.426094 37.724762),90,90,9,1,7
BALBOA,04TH AVE,NE,WB,0,27241000,BALBOA ST & 04TH AVE,,,,,,,POINT (-122.46187 37.777332),5,5,8,4,11
SCOTT,GREENWICH,NW,SB,0,26966000,SCOTT & GREENWICH,,,,,,,POINT (-122.440796 37.798325),14,14,4,6,13
MARTIN LUTHER KING,41ST AVE,,WB,,27793000,MARTIN LUTHER KING & 41ST AVE,,,,,,,POINT (-122.500854 37.764847),9,9,8,4,12
JERROLD AVE,TOLAND,SW,EB,0,20799000,JERROLD AVE & TOLAND,,,,,,,POINT (-122.39875 37.744095),85,85,2,9,1
CESAR CHAVEZ,ILLINOIS,NE,WB,,23534000,CESAR CHAVEZ & ILLINOIS ST,,,,,,,POINT (-122.386566 37.750324),56,56,2,9,1
CABRILLO,23RD AVE,NE,WB,0,27514000,CABRILLO ST & 23RD AVE,,,,I,,,POINT (-122.482185 37.774536),8,8,8,4,29
BRAZIL,LONDON,,EB,,21723000,BRAZIL AVE & LONDON,,,,,,,POINT (-122.43404 37.724316),90,90,9,1,7
LOCUST ST,WASHINGTON,SE,NB,0,26941000,LOCUST ST & WASHINGTON,,,,,,,POINT (-122.4523 37.789307),10,10,8,6,31
HALE,MERRILL,NE,WB,0,20907000,HALE & MERRILL,,,,,,,POINT (-122.40917 37.731964),91,91,2,2,25
ALPHA,TEDDY,,WB,,20322000,ALPHA & TEDDY,,,,,,,POINT (-122.40446 37.71384),75,75,9,9,40
LOCKSLEY AVE,WARREN,SE,NB,0,27056000,LOCKSLEY AVE & WARREN,,,,,,,POINT (-122.46323 37.758564),109,109,7,8,14
HARVARD,PIOCHE,NW,SB,,20989000,HARVARD & PIOCHE,,,,,,,POINT (-122.42136 37.728302),92,92,9,2,7
PLYMOUTH,WILDWOOD,NW,SB,,22623000,PLYMOUTH AVE & WILDWOOD WY,,,,,,,POINT (-122.456535 37.72759),71,71,9,8,41
LUNADO,ESTERO,SE,NB,,22741000,LUNADO WY & ESTERO AVE,,,,I,,,POINT (-122.471306 37.72372),67,67,10,8,41
NEWHALL,EGBERT,NW,SB,0,20608000,NEWHALL ST & EGBERT AVE,,,,,,,POINT (-122.39927 37.72678),86,86,2,9,1
26TH AVE,NORIEGA,NW,SB,00,27394000,26TH AVE & NORIEGA,,,,,,,POINT (-122.48397 37.75391),39,39,10,7,35
STONEYFORD,CAMBRIDGE,SE,NB,0,20994000,STONEYFORD & CAMBRIDGE,,,,,,,POINT (-122.420944 37.731308),94,94,9,2,7
VIENNA,GENEVA,NW,SB,00,21425000,VIENNA & GENEVA,,,,,,,POINT (-122.43536 37.713844),90,90,9,1,7
TARAVAL,17TH AVE,SW,EB,0,23179000,TARAVAL & 17TH AVE,,,,,,,POINT (-122.47356 37.743145),44,44,10,8,41
25TH ST,RHODE ISLAND,SW,EB,0,23694000,25TH ST & RHODE ISLAND,,,,,,,POINT (-122.40137 37.752018),54,54,2,9,26
28TH AVE,ANZA,NW,SB,0,27552000,28TH AVE & ANZA,,,,,,,POINT (-122.48781 37.77802),8,8,8,4,29
KIRKHAM,22ND AVE,NE,WB,0,27409000,KIRKHAM ST & 22ND AVE,,,,,,,POINT (-122.48007 37.75969),39,39,10,7,35
BOSWORTH,MILTON,SW,EB,0,21858000,BOSWORTH & MILTON,,,,,,,POINT (-122.42942 37.733395),93,93,9,5,28
MOSCOW,BRAZIL,SE,NB,0,21633000,MOSCOW & BRAZIL,,,,,,,POINT (-122.42764 37.721256),90,90,9,1,7
NEWHALL,HUDSON,SE,NB,,20226000,NEWHALL ST & HUDSON AVE,,,,,,,POINT (-122.388275 37.740044),86,86,2,9,1
FRANCE,ATHENS,SW,EB,0,21407000,FRANCE & ATHENS,,,,,,,POINT (-122.43195 37.716976),90,90,9,1,7
SHAFTER,LANE,,EB,,20501000,SHAFTER & LANE,,,,,,,POINT (-122.390724 37.731037),86,86,2,9,1
24TH AVE,CLEMENT,NW,SB,0,27544000,24TH AVE & CLEMENT,,,,,,,POINT (-122.4838 37.782078),8,8,8,4,29
14TH AVE,CABRILLO,SE,NB,0,27448000,14TH AVE & CABRILLO,,,,,,,POINT (-122.472435 37.77498),5,5,8,4,29
ULLOA,14TH AVE,NE,WB,,22954000,ULLOA ST & 14TH AVE,,,,,,,POINT (-122.47011 37.741425),46,46,10,8,41
MORSE,ALLISON,SE,NB,,21467000,MORSE ST & ALLISON ST,,,,,,,POINT (-122.44158 37.71238),58,58,9,1,7
NAPLES,MORSE,SE,NB,0,21428000,NAPLES & MORSE,,,,,,,POINT (-122.436646 37.71355),58,58,9,1,7
17TH ST,RHODE ISLAND,SW,EB,,23771000,17TH ST & RHODE ISLAND ST,,,,I,,,POINT (-122.402565 37.764782),54,54,1,9,4
PERSIA,NAPLES,NE,WB,0,21645000,PERSIA AVE & NAPLES ST,,,,,,,POINT (-122.431206 37.720856),90,90,9,1,7
ALMA,SHRADER,NE,WB,0,26279000,ALMA & SHRADER,,,,,,,POINT (-122.450874 37.763016),114,114,7,11,3
MISSOURI,CESAR CHAVEZ,NW,SB,0,23626000,MISSOURI ST & CHAVEZ,,,,,,,POINT (-122.39531 37.749805),54,54,2,9,1
47TH AVE,QUINTARA,NW,SB,0,23516000,47TH AVE & QUINTARA,,,,,,,POINT (-122.50609 37.74732),39,39,10,7,35
HOFFMAN,24TH ST,NW,SB,0,26083000,HOFFMAN & 24TH ST,,,,,,,POINT (-122.44061 37.7509),51,51,3,5,22
SPRUCE,JACKSON,SE,NB,,26951000,SPRUCE & JACKSON,,,,,,,POINT (-122.454124 37.78998),10,10,8,6,31
CLIPPER,DIAMOND HEIGHTS,NE,WB,0,22336000,CLIPPER & DIAMOND HEIGHTS,,,,,,,POINT (-122.44396 37.746765),57,57,3,5,22
MASON,SACRAMENTO,SE,NB,0,25012000,MASON ST & SACRAMENTO ST,,,,,,,POINT (-122.411 37.792763),16,16,6,3,21
17TH AVE,VICENTE,SE,NB,0,23154000,17TH AVE & VICENTE,,,,,,,POINT (-122.47329 37.739418),46,46,10,8,41
GREAT HIGHWAY,TARAVAL,SE,NB,0,23506000,GREAT HIGHWAY & TARAVAL,,,,,,,POINT (-122.50687 37.741673),39,39,10,7,35
SAN BRUNO,MANSELL,NW,SB,0,20573000,SAN BRUNO & MANSELL,,,,,,,POINT (-122.40108 37.721535),91,91,2,9,25
DEWEY,MONTALVO,NE,WB,0,22882000,DEWEY & MONTALVO,,,,,,,POINT (-122.463684 37.743748),49,49,10,8,41
CATALINA,MIDDLE POINT,SW,EB,,20172000,CATALINA ST & MIDDLE POINT RD,,,,I,,,POINT (-122.37941 37.736275),76,76,2,9,1
MERCED,KENSINGTON,SE,NB,0,22881000,MERCED & KENSINGTON,,,,,,,POINT (-122.46286 37.743385),49,49,10,8,41
GROVE,CENTRAL,NE,WB,,26371000,GROVE & CENTRAL,,,,,,,POINT (-122.444595 37.775085),24,24,7,11,18
WEBSTER,GREEN,SE,NB,0,26661000,WEBSTER & GREEN,,,,,,,POINT (-122.433655 37.796368),15,15,4,6,13
POLK,CHESTNUT,,NB,,26690000,POLK ST & CHESTNUT ST,,,,,,,POINT (-122.42309 37.80249),107,107,4,6,32
WISCONSIN,22ND ST,,SB,,23705000,,,,,,,,POINT (-122.39894 37.7573),54,54,2,9,26
09TH ST,DIVISION ST,NW,SB,,23880000,09TH & DIVISION ST,20160301000000,,16-026,,,,POINT (-122.40621 37.769463),33,33,3,9,20
PIERCE,CAPRA,NW,SB,,26982000,PIERCE ST & CAPRA WY,,,,,,,POINT (-122.43994 37.802723),17,17,4,6,13
CLEMENT,20TH AVE,SW,EB,,27507000,CLEMENT ST & 20TH AVE,20170321000000,,170321-030,,,,POINT (-122.479515 37.78226),8,8,8,4,29
BEAUMONT,TURK,NW,SB,0,26484000,BEAUMONT AVE & TURK ST,20200221000000,,6218,I,20-00332,20210114000000,POINT (-122.45433 37.777714),12,12,7,4,18
SEARS,SICKLES,NE,WB,,21583000,SEARS & SICKLES,,,,,,,POINT (-122.45389 37.70968),66,66,9,1,28
BURROWS,CAMBRIDGE,SW,EB,,20959000,BURROWS ST & CAMBRIDGE ST,,,,I,,,POINT (-122.41791 37.72522),92,92,2,2,7
LISBON ST,GENEVA,NW,SB,0,21442000,LISBON ST & GENEVA,,,,,,,POINT (-122.43862 37.71531),90,90,9,1,7
ELIZABETH,VICKSBURG,SW,EB,0,25650000,ELIZABETH & VICKSBURG,,,,,,,POINT (-122.42861 37.752384),84,84,3,5,22
