Tile_ID,Long2,Lat2,Long1,Lat1,Mid_lat,Mid_long,Stop_Signs,Paving_historical,Paving_future,Bus_stop,Collisions_Future,Collisions_Historical,RTTYP_I,RTTYP_M,RTTYP_O,RTTYP_S,RTTYP_U,bin
630,-122.5087454,37.76246732,-122.5076053,37.76156371,37.762016,-122.508175,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
631,-122.5087454,37.76156371,-122.5076053,37.76066011,37.761112,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
632,-122.5087454,37.76066011,-122.5076053,37.7597565,37.760208,-122.508175,4.0,0.0,0.0,2.0,0.0,0.0,0,1,0,0,0,1
633,-122.5087454,37.7597565,-122.5076053,37.75885289,37.759305,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
634,-122.5087454,37.75885289,-122.5076053,37.75794929,37.758401,-122.508175,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
635,-122.5087454,37.75794929,-122.5076053,37.75704568,37.757497,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
636,-122.5087454,37.75704568,-122.5076053,37.75614208,37.756594,-122.508175,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
637,-122.5087454,37.75614208,-122.5076053,37.75523847,37.75569,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
638,-122.5087454,37.75523847,-122.5076053,37.75433487,37.754787,-122.508175,7.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
639,-122.5087454,37.75433487,-122.5076053,37.75343126,37.753883,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
640,-122.5087454,37.75343126,-122.5076053,37.75252766,37.752979,-122.508175,3.0,0.0,0.0,1.0,2.0,0.0,0,1,0,0,0,2
641,-122.5087454,37.75252766,-122.5076053,37.75162405,37.752076,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
642,-122.5087454,37.75162405,-122.5076053,37.75072045,37.751172,-122.508175,3.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,0,2
643,-122.5087454,37.75072045,-122.5076053,37.74981684,37.750269,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
644,-122.5087454,37.74981684,-122.5076053,37.74891324,37.749365,-122.508175,3.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
645,-122.5087454,37.74891324,-122.5076053,37.74800963,37.748461,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
646,-122.5087454,37.74800963,-122.5076053,37.74710603,37.747558,-122.508175,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
647,-122.5087454,37.74710603,-122.5076053,37.74620242,37.746654,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
648,-122.5087454,37.74620242,-122.5076053,37.74529882,37.745751,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
649,-122.5087454,37.74529882,-122.5076053,37.74439521,37.744847,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
650,-122.5087454,37.74439521,-122.5076053,37.74349161,37.743943,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
651,-122.5087454,37.74349161,-122.5076053,37.742588,37.74304,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
652,-122.5087454,37.742588,-122.5076053,37.74168439,37.742136,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
719,-122.5076053,37.78596105,-122.5064652,37.78505745,37.785509,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
720,-122.5076053,37.78505745,-122.5064652,37.78415384,37.784606,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
721,-122.5076053,37.78415384,-122.5064652,37.78325024,37.783702,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
722,-122.5076053,37.78325024,-122.5064652,37.78234663,37.782798,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
723,-122.5076053,37.78234663,-122.5064652,37.78144303,37.781895,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
724,-122.5076053,37.78144303,-122.5064652,37.78053942,37.780991,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
725,-122.5076053,37.78053942,-122.5064652,37.77963582,37.780088,-122.507035,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
726,-122.5076053,37.77963582,-122.5064652,37.77873221,37.779184,-122.507035,4.0,3.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
727,-122.5076053,37.77873221,-122.5064652,37.77782861,37.77828,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
728,-122.5076053,37.77782861,-122.5064652,37.776925,37.777377,-122.507035,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
729,-122.5076053,37.776925,-122.5064652,37.77602139,37.776473,-122.507035,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
730,-122.5076053,37.77602139,-122.5064652,37.77511779,37.77557,-122.507035,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,2
731,-122.5076053,37.77511779,-122.5064652,37.77421418,37.774666,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
732,-122.5076053,37.77421418,-122.5064652,37.77331058,37.773762,-122.507035,2.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,2
733,-122.5076053,37.77331058,-122.5064652,37.77240697,37.772859,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
734,-122.5076053,37.77240697,-122.5064652,37.77150337,37.771955,-122.507035,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
735,-122.5076053,37.77150337,-122.5064652,37.77059976,37.771052,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
737,-122.5076053,37.76969616,-122.5064652,37.76879255,37.769244,-122.507035,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
738,-122.5076053,37.76879255,-122.5064652,37.76788895,37.768341,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
739,-122.5076053,37.76788895,-122.5064652,37.76698534,37.767437,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
740,-122.5076053,37.76698534,-122.5064652,37.76608174,37.766534,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
741,-122.5076053,37.76608174,-122.5064652,37.76517813,37.76563,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
742,-122.5076053,37.76517813,-122.5064652,37.76427453,37.764726,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
743,-122.5076053,37.76427453,-122.5064652,37.76337092,37.763823,-122.507035,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,2
744,-122.5076053,37.76337092,-122.5064652,37.76246732,37.762919,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
745,-122.5076053,37.76246732,-122.5064652,37.76156371,37.762016,-122.507035,4.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
746,-122.5076053,37.76156371,-122.5064652,37.76066011,37.761112,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
747,-122.5076053,37.76066011,-122.5064652,37.7597565,37.760208,-122.507035,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
748,-122.5076053,37.7597565,-122.5064652,37.75885289,37.759305,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
749,-122.5076053,37.75885289,-122.5064652,37.75794929,37.758401,-122.507035,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
750,-122.5076053,37.75794929,-122.5064652,37.75704568,37.757497,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
751,-122.5076053,37.75704568,-122.5064652,37.75614208,37.756594,-122.507035,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
752,-122.5076053,37.75614208,-122.5064652,37.75523847,37.75569,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
753,-122.5076053,37.75523847,-122.5064652,37.75433487,37.754787,-122.507035,4.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
754,-122.5076053,37.75433487,-122.5064652,37.75343126,37.753883,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
755,-122.5076053,37.75343126,-122.5064652,37.75252766,37.752979,-122.507035,4.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,2
756,-122.5076053,37.75252766,-122.5064652,37.75162405,37.752076,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
757,-122.5076053,37.75162405,-122.5064652,37.75072045,37.751172,-122.507035,4.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
758,-122.5076053,37.75072045,-122.5064652,37.74981684,37.750269,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
759,-122.5076053,37.74981684,-122.5064652,37.74891324,37.749365,-122.507035,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
760,-122.5076053,37.74891324,-122.5064652,37.74800963,37.748461,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
761,-122.5076053,37.74800963,-122.5064652,37.74710603,37.747558,-122.507035,2.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1
762,-122.5076053,37.74710603,-122.5064652,37.74620242,37.746654,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
763,-122.5076053,37.74620242,-122.5064652,37.74529882,37.745751,-122.507035,5.0,0.0,0.0,2.0,1.0,1.0,0,1,0,0,0,2
764,-122.5076053,37.74529882,-122.5064652,37.74439521,37.744847,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
765,-122.5076053,37.74439521,-122.5064652,37.74349161,37.743943,-122.507035,5.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1
766,-122.5076053,37.74349161,-122.5064652,37.742588,37.74304,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
767,-122.5076053,37.742588,-122.5064652,37.74168439,37.742136,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
768,-122.5076053,37.74168439,-122.5064652,37.74078079,37.741233,-122.507035,4.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
769,-122.5076053,37.74078079,-122.5064652,37.73987718,37.740329,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
770,-122.5076053,37.73987718,-122.5064652,37.73897358,37.739425,-122.507035,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
771,-122.5076053,37.73897358,-122.5064652,37.73806997,37.738522,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
772,-122.5076053,37.73806997,-122.5064652,37.73716637,37.737618,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
773,-122.5076053,37.73716637,-122.5064652,37.73626276,37.736715,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
774,-122.5076053,37.73626276,-122.5064652,37.73535916,37.735811,-122.507035,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,2
775,-122.5076053,37.73535916,-122.5064652,37.73445555,37.734907,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
776,-122.5076053,37.73445555,-122.5064652,37.73355195,37.734004,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
