city,year,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
San Leandro,2017,3,69.30934065934065,51.87884615384615,59.71978021978022,654.1,654.1,0.0,769.0,10.1,23.458241758241755
San Leandro,2018,3,68.35989010989012,51.0217032967033,58.79148351648351,378.0,378.0,0.0,569.0,9.618406593406593,22.417857142857144
San Luis Obispo,2014,1,70.87252747252747,54.29120879120879,61.7010989010989,276.9,276.9,0.0,350.0,9.930494505494504,20.80879120879121
San Luis Obispo,2015,1,70.87032967032967,54.18983516483516,61.63131868131869,136.0,136.0,0.0,238.0,9.763736263736265,20.35879120879121
San Luis Obispo,2016,3,69.2517808219178,53.72547945205479,60.65260273972602,403.0,403.0,0.0,443.0,10.08931506849315,20.97808219178082
San Luis Obispo,2017,1,69.87225274725274,54.087637362637366,61.08736263736264,524.4999999999999,524.4999999999999,0.0,605.0,10.237362637362637,21.166208791208792
San Luis Obispo,2018,1,69.66785714285714,53.826098901098895,60.87390109890111,363.20000000000005,363.20000000000005,0.0,403.0,10.008791208791209,20.703846153846154
San Marcos,2014,1,73.80054945054944,55.278296703296704,63.92884615384615,260.6,260.6,0.0,345.0,7.896978021978021,19.44532967032967
San Marcos,2015,1,73.13186813186813,54.88818681318681,63.46978021978022,235.1,235.1,0.0,504.0,7.979945054945055,19.536263736263738
San Marcos,2016,3,71.96000000000001,54.513698630136986,62.68027397260274,341.2,341.2,0.0,525.0,7.971232876712329,19.45945205479452
San Marcos,2017,3,72.1879120879121,54.88324175824176,62.9956043956044,361.8,361.8,0.0,479.0,7.685164835164835,18.748626373626372
San Marcos,2018,3,72.28681318681319,54.84065934065934,62.90714285714285,252.2,252.2,0.0,427.0,7.899450549450548,19.31291208791209
San Marino,2014,1,79.71510989010989,55.44010989010988,66.6337912087912,260.1,259.6,0.35,298.0,7.6291208791208796,20.45659340659341
San Marino,2015,1,79.02032967032966,55.01456043956045,66.15961538461538,147.2,147.2,0.0,313.0,7.564285714285713,19.75824175824176
San Marino,2016,1,78.21315068493149,54.496438356164376,65.3427397260274,278.2,278.2,0.0,392.0,7.635616438356164,19.983835616438355
San Marino,2017,1,78.66318681318681,55.542582417582416,66.14203296703297,310.40000000000003,310.40000000000003,0.0,438.0,7.632967032967033,19.752197802197802
San Marino,2018,1,78.17417582417583,55.04945054945055,65.48104395604395,266.0,266.0,0.0,353.0,7.557142857142858,19.661263736263734
San Mateo,2014,3,69.33681318681319,54.67032967032967,60.92802197802199,504.29999999999995,504.29999999999995,0.0,637.0,7.904395604395604,21.122252747252748
San Mateo,2015,3,69.02005494505494,54.07637362637364,60.677747252747245,282.20000000000005,282.20000000000005,0.0,354.0,7.713186813186813,20.365109890109892
San Mateo,2016,3,67.69589041095891,53.72575342465754,59.92465753424658,583.9,583.9,0.0,689.0,8.27095890410959,21.4827397260274
San Mateo,2017,3,68.29725274725276,53.41098901098902,60.012362637362635,726.8,726.8,0.0,820.0,8.643131868131867,22.236538461538462
San Mateo,2018,3,66.89258241758242,52.58681318681318,58.90659340659341,414.7,414.7,0.0,572.0,8.118131868131869,20.70357142857143
San Pablo,2014,3,72.56236263736263,51.32115384615385,60.64587912087913,542.2,542.2,0.0,592.0,9.176648351648351,21.64917582417582
San Pablo,2015,3,71.44862637362637,50.631043956043946,59.80576923076923,249.59999999999997,249.59999999999997,0.0,314.0,9.143406593406594,20.91346153846154
San Pablo,2016,3,69.9254794520548,50.14164383561643,58.94273972602739,594.3999999999999,594.3999999999999,0.0,725.0,9.375616438356165,21.648219178082194
San Pablo,2017,3,71.12335164835166,50.29999999999999,59.545054945054936,693.3000000000001,693.3000000000001,0.0,750.0,9.642857142857144,22.206043956043956
San Pablo,2018,3,71.25604395604397,49.80631868131868,59.20027472527473,392.4,392.4,0.0,518.0,9.311538461538461,21.50741758241758
San Rafael,2014,3,67.7217032967033,52.29505494505495,59.10851648351648,616.7,616.7,0.0,661.0,10.451373626373627,21.13818681318681
San Rafael,2015,3,67.00357142857143,51.77197802197802,58.535164835164835,270.5,270.5,0.0,321.0,10.336813186813187,20.463461538461537
San Rafael,2016,3,65.71753424657534,51.087671232876716,57.68082191780822,670.0999999999999,670.0999999999999,0.0,786.0,10.912602739726028,21.507397260273976
San Rafael,2017,3,66.80439560439561,51.16703296703297,58.12280219780219,764.4999999999999,764.4999999999999,0.0,805.0,11.300824175824175,22.187362637362636
San Rafael,2018,3,66.67115384615384,50.7934065934066,57.76510989010989,434.5,434.5,0.0,563.0,10.809890109890109,21.23489010989011
San Ramon,2014,3,72.18159340659341,51.79505494505495,60.63296703296704,417.70000000000005,417.70000000000005,0.0,524.0,8.212912087912088,22.269505494505495
San Ramon,2015,3,70.81565934065935,51.05521978021978,59.74478021978022,247.4,247.4,0.0,303.0,8.163186813186812,21.270604395604394
San Ramon,2016,3,69.55260273972603,50.6013698630137,59.05095890410959,522.1,522.1,0.0,637.0,8.383561643835616,22.392054794520547
San Ramon,2017,3,70.625,50.94423076923077,59.698626373626375,626.3000000000001,626.3000000000001,0.0,711.0,8.642582417582416,22.811263736263733
San Ramon,2018,3,70.39697802197803,50.3054945054945,59.05357142857143,375.59999999999997,375.59999999999997,0.0,517.0,8.340659340659341,21.93021978021978
Sand City,2014,1,66.83763736263737,52.54780219780219,59.10384615384615,456.3,456.3,0.0,543.0,8.108516483516484,18.907967032967033
Sand City,2015,3,66.4804945054945,52.05824175824175,58.75192307692308,243.40000000000003,243.40000000000003,0.0,329.0,8.230494505494505,18.744505494505493
Sand City,2016,3,65.09479452054794,51.821917808219176,58.01315068493152,520.4,520.4,0.0,650.0,8.496438356164383,18.95013698630137
Sand City,2017,1,65.73736263736264,51.75027472527472,58.25219780219781,597.4999999999999,597.4999999999999,0.0,749.0,8.651648351648353,19.449725274725274
Sand City,2018,3,65.15192307692307,51.29120879120879,57.71043956043955,398.70000000000005,398.70000000000005,0.0,549.0,8.481318681318681,18.706043956043956
Sanger,2014,0,81.32582417582417,56.22774725274726,68.74093406593406,278.09999999999997,278.09999999999997,0.0,358.0,7.71565934065934,17.61318681318681
Sanger,2015,1,79.83379120879121,55.11153846153846,67.38736263736264,199.5,199.5,0.0,313.0,7.481043956043956,17.096153846153847
Sanger,2016,0,79.02438356164384,55.2668493150685,67.08821917808218,435.3,435.3,0.0,479.0,7.667671232876712,17.697534246575344
Sanger,2017,0,77.89532967032967,55.28131868131869,66.60000000000001,582.9000000000001,582.9000000000001,0.0,688.0,7.634615384615385,17.275824175824177
Sanger,2018,0,79.36401098901099,55.28708791208791,67.22994505494505,423.0,423.0,0.0,486.0,7.499175824175824,17.182142857142853
Santa Ana,2014,2,73.69203296703297,57.1717032967033,64.80604395604396,227.10000000000002,227.10000000000002,0.0,268.0,9.34065934065934,19.432692307692307
Santa Ana,2015,1,73.27417582417583,56.870054945054946,64.57857142857142,147.1,147.1,0.0,309.0,9.361813186813187,19.228571428571428
Santa Ana,2016,3,72.1495890410959,56.46246575342465,63.66849315068493,229.3,229.3,0.0,353.0,9.493698630136986,19.26684931506849
Santa Ana,2017,3,72.54697802197802,56.970604395604404,64.12115384615385,257.1,257.1,0.0,394.0,9.384065934065935,19.037362637362637
Santa Ana,2018,3,72.19862637362637,56.808516483516485,63.809340659340656,239.5,239.5,0.0,334.0,9.33434065934066,18.953021978021976
Santa Barbara,2014,1,76.36703296703297,59.66593406593407,67.84835164835165,291.2,291.2,0.0,265.0,13.241208791208791,21.776923076923076
Santa Barbara,2015,1,76.21456043956043,59.45192307692308,67.66510989010989,119.8,119.8,0.0,190.0,12.81043956043956,20.8239010989011
Santa Barbara,2016,1,75.02493150684931,58.727397260273975,66.65287671232876,352.59999999999997,352.59999999999997,0.0,374.0,13.416438356164383,21.753698630136988
Santa Barbara,2017,1,75.42637362637363,59.363186813186815,67.15384615384616,506.0,506.0,0.0,540.0,13.168131868131868,20.929395604395605
Santa Barbara,2018,1,75.02142857142857,58.83653846153846,66.68186813186813,368.3,368.3,0.0,365.0,13.032967032967033,20.897252747252747
Santa Clara,2014,3,72.26978021978022,53.53708791208791,61.5348901098901,627.2,627.2,0.0,702.0,11.39532967032967,17.689835164835163
Santa Clara,2015,1,71.2021978021978,52.994230769230775,60.835714285714275,320.50000000000006,320.50000000000006,0.0,344.0,11.498626373626374,17.44478021978022
Santa Clara,2016,3,69.58219178082192,52.333698630136986,59.84630136986302,843.3,843.3,0.0,822.0,11.959452054794523,17.986301369863014
